text,author,created_at,uri,scraped_at
"Rent control without vacancy control is ineffective.

#USPOL #USA #us #uspoli #poli #politics #cdnpoli #canada #MidasMighty #Politics-matter #PoliticsNation #america #anticapitalist #capitalismkills #capitalism #abolishcapitalism #fuckcapitalism #SocialJustice #ClassConsciousness #FalseConsciousness",robduncan.bsky.social,2025-11-03T20:41:13.387Z,at://did:plc:ig6dnt4tqgg7iwwtywx3bkvd/app.bsky.feed.post/3m4quyb7ozs2h,2025-11-03T20:41:45.643193+00:00
Stellantis subject of Canada legal proceedings: Joly share.google/W2hKwkqSm9kX...,bcreality.bsky.social,2025-11-03T20:41:06.523Z,at://did:plc:2pondrlrs5xlg5astgfpm6i5/app.bsky.feed.post/3m4quy2o6wk2i,2025-11-03T20:41:45.643212+00:00
"""They say""

They say a lot of fucking things

I'd rather be in Canada than the US regardless of what 'they say'

I'm sure glad I'm not American regardless of what 'they say'

I'm poor and regardless of what 'they say' I'm doing ok

I'd rather have Mark than Pollievre regardless of what 'they say'",mrsvorpalbunny.bsky.social,2025-11-03T20:41:03.569Z,at://did:plc:iafl5igc2wtqadmua6gis5tj/app.bsky.feed.post/3m4quxxu35c2z,2025-11-03T20:41:45.643215+00:00
"It’s about time the deeply corrupt, MAGA-aligned, Captain Canada was called out

www.cbc.ca/news/canada/...",consbegone.bsky.social,2025-11-03T20:40:36.220Z,at://did:plc:o6efcxeemtroyo6jfworilno/app.bsky.feed.post/3m4qux5rg5s2w,2025-11-03T20:41:45.643218+00:00
"L'appel à contribution pour la Conférence « Du choc à la transformation : repenser la politique économique extérieure du Canada » est en cours, et ce, jusqu'au 12 décembre 2025 à 23h59 (UTC-05 :00) 

event.fourwaves.com/duchocalatra...",esei-ul.bsky.social,2025-11-03T20:40:20.782Z,at://did:plc:bo2hzuzbwxprd3l433va35tn/app.bsky.feed.post/3m4quwp2cxk2k,2025-11-03T20:41:45.643220+00:00
Prescription painkillers shortage in Canada expected to continue into new year (Canada),castanetkamloops.net,2025-11-03T12:40:03-08:00,at://did:plc:qdgl5jkq732vewis5wqvtzbw/app.bsky.feed.post/3m4quw6rfgu2n,2025-11-03T20:41:45.643223+00:00
#Canada #ukraine #america #Portugal #sweeden #melodic,missdjmonique.bsky.social,2025-11-03T20:39:40.306Z,at://did:plc:7fcaggwanpjgs5obw2dhux6o/app.bsky.feed.post/3m4quvijftk2c,2025-11-03T20:41:45.643225+00:00
"How can “storying” —the act of creating and sharing stories to find, suggest, and transmit meaning — shape the way we grow and heal following climate impacts like wildfire?",resilienceinstitute.ca,2025-11-03T20:39:24.340088Z,at://did:plc:jeva2qooz7kjzr56byjwbdpk/app.bsky.feed.post/3m4quuzeewq2l,2025-11-03T20:41:45.643228+00:00
"@billkellypodcast.bsky.social ""Don't listen to PP""
#Bluesky #Politics #Resist #Democracy #Resistance #Canadasky #Canada #cdnpoli #Boycotts #America #𝓢𝓽𝓮𝓿𝓮𝓜𝓲𝓵𝓮𝓼𝓝𝓮𝓽 #neverthe51ststate #BoycottUsCars #MarkCarney #NeverVoteConservative #NeverPierrePoilievre
youtu.be/FgH2CHDjqNc?...",stevemilesnet.bsky.social,2025-11-03T20:39:09.935Z,at://did:plc:px2esgvbnl7ransisaced6wu/app.bsky.feed.post/3m4quuliags2r,2025-11-03T20:41:45.643230+00:00
"Scenic drives through the Canadian Rockies 🚗🌄 (Icefields Parkway, Alberta, Canada)

#canada #alberta #canadianrockies #travel #autumn #fall #roadtrip #photography",argenel.bsky.social,2025-11-03T20:39:04.659Z,at://did:plc:bezg2lqbvlpc52ejad25wlj2/app.bsky.feed.post/3m4quughey22e,2025-11-03T20:41:45.643233+00:00
"Talk is fine. Spending that much money/locking us into a deal without consulting Canada isn't fine. A lot of people are saying wait and see, but when his budget comes out and decimates public services, will they then see that it's a problem and do something about it?",dooodlebugg83.bsky.social,2025-11-03T20:38:56.969Z,at://did:plc:jwiqvf3wxqcqlqy7aght25zo/app.bsky.feed.post/3m4quu74je22q,2025-11-03T20:41:45.643235+00:00
Lunatics in thinking anyone in Canada is going to vote for someone who says AI must become as dear to them as their two most sacred things 😅 (third is the store called Canadian Tire🙏),palomar-qfwfq.bsky.social,2025-11-03T20:38:22.591Z,at://did:plc:gv3pxhyytw6rihwvunu4l6jy/app.bsky.feed.post/3m4qut6dh222u,2025-11-03T20:41:45.643237+00:00
Radio-Canada Info:  Doug Ford sommé à maintes reprises de retirer ses publicités contre les tarifs douaniers ,aricierss.bsky.social,2025-11-03T20:38:19.141Z,at://did:plc:2rker5jsweiukz55nxst6hjk/app.bsky.feed.post/3m4qut35xou2p,2025-11-03T20:41:45.643239+00:00
CBC Canada: Carly Rae Jepsen announces pregnancy,aricierss.bsky.social,2025-11-03T20:38:17.180Z,at://did:plc:2rker5jsweiukz55nxst6hjk/app.bsky.feed.post/3m4quszb7al2x,2025-11-03T20:41:45.643241+00:00
"Donc si on récapitule :

📍Montréal : droite 
📍Le Québec : droite (de plus en plus) 
📍Le Canada : centre-droit (mais plus à droite qu’au centre)
📍Les États-Unis : droite (droite dure)
…",matcarbasse.bsky.social,2025-11-03T20:38:09.083Z,at://did:plc:xweyqeta67tevm3ywxmidouc/app.bsky.feed.post/3m4qusrh6ns2f,2025-11-03T20:41:45.643243+00:00
